category,scenario,seed,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
iid,iid_stage6,100270,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100271,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100272,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100273,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100274,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100275,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100276,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100277,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100278,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100279,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100280,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100281,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100282,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100283,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100284,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100285,0,200,-1.7000000000000013,0,5,5,7,0
iid,iid_stage6,100286,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100287,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100288,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100289,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100290,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100291,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100292,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100293,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100294,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100295,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100296,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100297,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100298,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100299,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100300,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100301,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100302,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100303,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100304,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100305,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100306,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100307,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100308,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100309,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100310,0,200,-2.0000000000000013,0,0,0,7,3
